Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
False killer whale,Delphinidae,Pseudorca crassidens,Pseudorca,Cetacea,2000000,65,500,TL,10.5,396.5,1,1.8,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137104, https://www.sealifebase.ca/summary/Pseudorca-crassidens.html, https://doi.org/10.1016/B978-0-12-804327-1.00006-6"
Long-finned pilot whale,Delphinidae,Globicephala melas,Globicephala,Cetacea,2500000,60,600,TL,8,NA,1,NA,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137097, https://doi.org/10.1016/B978-0-12-804327-1.00194-1"
Cuviers beaked whale,Ziphiidae,Ziphius cavirostris,Ziphius,Cetacea,3000000,30,700,TL,NA,580,1,NA,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137127, https://sealifebase.org/summary/Ziphius-cavirostris.html, https://doi.org/10.1016/B978-0-12-804327-1.00100-X"
Killer whale,Delphinidae,Orcinus orca,Orcinus,Cetacea,4700000,90,850,TL,12,615,1,225,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=343990, https://doi.org/10.1016/B978-0-12-804327-1.00010-8, https://www.sealifebase.ca/summary/Orcinus-orca.html"
Baird's beaked whale,Ziphiidae,Berardius bairdii,Berardius,Cetacea,12000000,54,1280,TL,12.5,10.2,1,4.6,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=242608, https://doi.org/10.1016/B978-0-12-804327-1.00066-2, https://sealifebase.org/summary/Berardius-bairdii.html"
Sperm whale,Physeteridae,Physeter macrocephalus,Physeter,Cetacea,15000000,60,1200,TL,9,900,1,400,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137119, https://www.sealifebase.ca/summary/Physeter-macrocephalus.html, https://doi.org/10.1016/B978-0-12-804327-1.00242-9, https://openknowledge.fao.org/items/cfd56ecd-1af8-4c5d-9158-628ae69ec904"
Pygmy kille whale,Delphinidae,Feresa attenuata,Feresa,Cetacea,NA,NA,260,TL,NA,NA,1,80,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137095, https://doi.org/10.1016/B978-0-12-804327-1.00210-7"
North Atlantic bottlenose whale,Ziphiidae,Hyperoodon ampullatus,Hyperoodon,Cetacea,NA,37,870,TL,NA,10.5,1,NA,,,,,,,,,,,,"http://marinespecies.org/cetacea/aphia.php?p=taxdetails&id=343899, https://sealifebase.org/summary/Hyperoodon-ampullatus.html"
Indo-Pacific beaked whale,Ziphiidae,Indopacetus pacificus,Indopacetus,Cetacea,NA,22,648,TL,NA,NA,1,NA,,,,,,,,,,,NA,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=231418
Finless porpoise,Phocoenidae,Neophocaena phocaenoides,Neophocaena,Cetacea,NA,30,227,TL,5,140,1,78.2,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254985, https://doi.org/10.1016/B978-0-12-804327-1.00129-1, https://www.sealifebase.ca/summary/Neophocaena-phocaenoides.html, https://doi.org/10.1111/j.1748-7692.1993.tb00472.x"
