Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Indo-Pacific tarpon,Megalopidae,Megalops cyprinoides,Megalops,Teleostei,18000,44,150,TL,NA,25,NA,NA,,,,,,,,,,,,
Whiting,Gadidae,Merlangius merlangus,Merlangius,Teleostei,3110,20,91.5,TL,1.6,28,284603.4667,0.329999995,,,,,,,,,,,,
North Pacific hake,Merlucciidae,Merluccius productus,Merluccius,Teleostei,4200,16,83,TL,3.266666651,35.25,277250,NA,,,,,,,,,,,,
Spiky oreo,Oreosomatidae,Neocyttus rhomboidalis,Neocyttus,Teleostei,2000,100,40,SL,NA,28.5,NA,NA,,,,,,,,,,,,
Southern blue whiting,Gadidae,Micromesistius australis,Micromesistius,Teleostei,850,30,90,TL,3,34.66666667,354423.3333,NA,,,,,,,,,,,,
Blue whiting,Gadidae,Micromesistius poutassou,Micromesistius,Teleostei,830,20,55.5,TL,3.333333333,22.5,76800,0.20999999,,,,,,,,,,,,
Ocean sunfish,Molidae,Mola mola,Mola,Teleostei,1320000,NA,333,TL,NA,NA,NA,NA,,,,,,,,,,,,
White perch,Moronidae,Morone americana,Morone,Teleostei,2720,16,58,TL,2.5,NA,152946.1667,NA,,,,,,,,,,,,
Jonah's icefish,Channichthyidae,Neopagetopsis ionah,Neopagetopsis,Teleostei,1081.5,NA,56,TL,NA,NA,2655,NA,,,,,,,,,,,,
Blackfin sorcerer,Nettastomatidae,Nettastoma melanura,Nettastoma,Teleostei,255.5,NA,79.80000305,TL,NA,43.29999924,13443.5,0.7,,,,,,,,,,,,
Yellow drum,Sciaenidae,Nibea albiflora,Nibea,Teleostei,1479,4,43.5,SL,NA,NA,NA,NA,,,,,,,,,,,,
NA,Ariidae,Notarius luniscutis,Notarius,Teleostei,144,NA,120,TL,NA,NA,NA,NA,,,,,,,,,,,,
Maracaibo leatherjacket,Carangidae,Oligoplites palometa,Oligoplites,Teleostei,900,NA,49.70000076,TL,NA,NA,NA,NA,,,,,,,,,,,,
Shortjaw leatherjacket,Carangidae,Oligoplites refulgens,Oligoplites,Teleostei,145.2400055,NA,28.20000076,TL,NA,NA,NA,NA,,,,,,,,,,,,
Castin leatherjacket,Carangidae,Oligoplites saliens,Oligoplites,Teleostei,900,NA,50,TL,NA,NA,NA,NA,,,,,,,,,,,,
Chum salmon,Salmonidae,Oncorhynchus keta,Oncorhynchus,Teleostei,18140,7,100,FL,2,NA,2750,NA,,,,,,,,,,,,
Coho salmon,Salmonidae,Oncorhynchus kisutch,Oncorhynchus,Teleostei,15170,5,107.9499969,TL,2.5,NA,3484.125,NA,,,,,,,,,,,,
Masu salmon,Salmonidae,Oncorhynchus masou,Oncorhynchus,Teleostei,10000,NA,79,TL,3,NA,2070,NA,,,,,,,,,,,,
Rainbow trout,Salmonidae,Oncorhynchus mykiss,Oncorhynchus,Teleostei,25850,11,122,TL,2.571428571,15,4983,NA,,,,,,,,,,,,
Sockeye salmon,Salmonidae,Oncorhynchus nerka,Oncorhynchus,Teleostei,7710,8,84,TL,NA,NA,1683,NA,,,,,,,,,,,,
Chinook salmon,Salmonidae,Oncorhynchus tshawytscha,Oncorhynchus,Teleostei,61400,9,150,TL,3,NA,6604.285714,NA,,,,,,,,,,,,
Plain bonito,Scombridae,Orcynopsis unicolor,Orcynopsis,Teleostei,13100,NA,130,FL,NA,70,NA,NA,,,,,,,,,,,,
Bulb-fish,Oneirodidae,Oneirodes bulbosus,Oneirodes,Teleostei,450,NA,23,TL,NA,NA,NA,NA,,,,,,,,,,,,
Alaska dreamer,Oneirodidae,Oneirodes thompsoni,Oneirodes,Teleostei,400,NA,21,TL,NA,NA,NA,NA,,,,,,,,,,,,
Tardoore,Pristigasteridae,Opisthopterus tardoore,Opisthopterus,Teleostei,87,NA,23,TL,NA,NA,NA,NA,,,,,,,,,,,,
Pacific rainbow smelt,Osmeridae,Osmerus dentex,Osmerus,Teleostei,119,11,34,SL,3.666666667,14,35750,0.55,,,,,,,,,,,,
European smelt,Osmeridae,Osmerus eperlanus,Osmerus,Teleostei,178,10,45,TL,2,NA,26937.5,0.530000019,,,,,,,,,,,,
Tigertooth croaker,Sciaenidae,Otolithes ruber,Otolithes,Teleostei,7000,5,90,TL,1.12499997,28,86142,NA,,,,,,,,,,,,
Blackspot seabream,Sparidae,Pagellus bogaraveo,Pagellus,Teleostei,4000,15,70,SL,4,22,496250,0.370000005,,,,,,,,,,,,
Common pandora,Sparidae,Pagellus erythrinus,Pagellus,Teleostei,3240,NA,60,SL,1.75,13.25,100781.6667,NA,,,,,,,,,,,,
Southern common seabream,Sparidae,Pagrus africanus,Pagrus,Teleostei,5550,NA,75,TL,NA,NA,NA,NA,,,,,,,,,,,,
Bluespotted seabream,Sparidae,Pagrus caeruleostictus,Pagrus,Teleostei,11620,NA,90,SL,NA,15.66666667,NA,NA,,,,,,,,,,,,
Red porgy,Sparidae,Pagrus pagrus,Pagrus,Teleostei,7720,26,91,TL,1.699999988,23.49999936,268630,0.25,,,,,,,,,,,,
Japanese huchen,Salmonidae,Parahucho perryi,Parahucho,Teleostei,24000,16,200,TL,10,NA,NA,NA,,,,,,,,,,,,
Magellanic rockcod,Nototheniidae,Paranotothenia magellanica,Paranotothenia,Teleostei,1451,NA,43,TL,NA,NA,65000,NA,,,,,,,,,,,,
Slender armorhead,Pentacerotidae,Pentaceros wheeleri,Pentaceros,Teleostei,1200,11,44,TL,NA,NA,NA,NA,,,,,,,,,,,,
Kelp bass,Serranidae,Paralabrax clathratus,Paralabrax,Teleostei,7000,34,72,TL,NA,NA,NA,NA,,,,,,,,,,,,
Peruvian rock seabass,Serranidae,Paralabrax humeralis,Paralabrax,Teleostei,2462,NA,54.5,TL,NA,NA,NA,NA,,,,,,,,,,,,
American coastal pellona,Pristigasteridae,Pellona harroweri,Pellona,Teleostei,33,NA,18,TL,NA,NA,NA,NA,,,,,,,,,,,,
Smalltoothed pellonula,Dorosomatidae,Pellonula leonensis,Pellonula,Teleostei,13.5,NA,12.10000038,TL,NA,2.75,1475,NA,,,,,,,,,,,,
Greater forkbeard,Phycidae,Phycis blennoides,Phycis,Teleostei,3540,20,110,TL,3,22.5,NA,0.220000005,,,,,,,,,,,,
Forkbeard,Phycidae,Phycis phycis,Phycis,Teleostei,3910,NA,65,TL,NA,30,5427502.75,NA,,,,,,,,,,,,
Antarctic silverfish,Nototheniidae,Pleuragramma antarcticum,Pleuragramma,Teleostei,200,20,26.60000038,TL,3,12.75,7500,0.9,,,,,,,,,,,,
Parrot grunt,Haemulidae,Pomadasys perotaei,Pomadasys,Teleostei,554,NA,36,TL,NA,NA,NA,NA,,,,,,,,,,,,
Crimson jobfish,Lutjanidae,Pristipomoides filamentosus,Pristipomoides,Teleostei,8154,44,100,TL,NA,37.19999949,NA,NA,,,,,,,,,,,,
Lavender jobfish,Lutjanidae,Pristipomoides sieboldii,Pristipomoides,Teleostei,8400,NA,79,TL,NA,NA,NA,NA,,,,,,,,,,,,
Oblique-banded snapper,Lutjanidae,Pristipomoides zonatus,Pristipomoides,Teleostei,1812,NA,57.5,FL,NA,NA,NA,NA,,,,,,,,,,,,
Pollack,Gadidae,Pollachius pollachius,Pollachius,Teleostei,18140,8,130,TL,NA,34.39999962,NA,NA,,,,,,,,,,,,
Arabian blackspot threadfin,Polynemidae,Polydactylus mullani,Polydactylus,Teleostei,135,NA,22.20000076,TL,NA,NA,NA,NA,,,,,,,,,,,,
Bluefish,Pomatomidae,Pomatomus saltatrix,Pomatomus,Teleostei,14400,14,130,TL,2,30,537443,0.21500001,,,,,,,,,,,,
Greenland halibut,Pleuronectidae,Reinhardtius hippoglossoides,Reinhardtius,Teleostei,7000,36,110,TL,8.949999968,61.25,28100,NA,,,,,,,,,,,,
Purplemouth grunt,Haemulidae,Rhonciscus bayanus,Rhonciscus,Teleostei,1580,NA,51,TL,NA,NA,NA,NA,,,,,,,,,,,,
Atlantic salmon,Salmonidae,Salmo salar,Salmo,Teleostei,46764,13,150,TL,2.15,33.75,9605.7,NA,,,,,,,,,,,,
Sea trout,Salmonidae,Salmo trutta,Salmo,Teleostei,50000,38,140,SL,2.529629628,49.75499996,2712.777778,1.2,,,,,,,,,,,,
Arctic char,Salmonidae,Salvelinus alpinus,Salvelinus,Teleostei,15000,40,107,TL,4,NA,3632.125,NA,,,,,,,,,,,,
Brook trout,Salmonidae,Salvelinus fontinalis,Salvelinus,Teleostei,8000,24,86,SL,1.8,NA,1469.25,NA,,,,,,,,,,,,
Whitespotted char,Salmonidae,Salvelinus leucomaenis,Salvelinus,Teleostei,15000,9,120,TL,3,NA,2260.5,NA,,,,,,,,,,,,
Dolly varden,Salmonidae,Salvelinus malma,Salvelinus,Teleostei,18300,NA,127,TL,4,16,NA,NA,,,,,,,,,,,,
Australian bonito,Scombridae,Sarda australis,Sarda,Teleostei,9400,NA,180,FL,NA,NA,NA,NA,,,,,,,,,,,,
Eastern Pacific bonito,Scombridae,Sarda chiliensis,Sarda,Teleostei,11300,NA,102,TL,2,49,NA,NA,,,,,,,,,,,,
Pacific bonito,Scombridae,Sarda lineolata,Sarda,Teleostei,11300,NA,102,FL,NA,NA,NA,NA,,,,,,,,,,,,
Striped bonito,Scombridae,Sarda orientalis,Sarda,Teleostei,10650,NA,102,FL,1,44,404048,NA,,,,,,,,,,,,
Atlantic bonito,Scombridae,Sarda sarda,Sarda,Teleostei,11000,5,91.40000153,FL,NA,40,101717,0.430000019,,,,,,,,,,,,
King of herrings,Regalecidae,Regalecus glesne,Regalecus,Teleostei,272000,NA,800,TL,NA,NA,NA,0.7,,,,,,,,,,,,
Silver gemfish,Gempylidae,Rexea solandri,Rexea,Teleostei,16000,16,110,SL,4,55,2250000,NA,,,,,,,,,,,,
Oilfish,Gempylidae,Ruvettus pretiosus,Ruvettus,Teleostei,63500,NA,300,TL,NA,NA,NA,NA,,,,,,,,,,,,
Blue mackerel,Scombridae,Scomber australasicus,Scomber,Teleostei,1360,NA,44,FL,NA,NA,NA,NA,,,,,,,,,,,,
Chub mackerel,Scombridae,Scomber japonicus,Scomber,Teleostei,2900,18,64,TL,2,30.25,540129.375,0.270000005,,,,,,,,,,,,
Atlantic mackerel,Scombridae,Scomber scombrus,Scomber,Teleostei,3400,17,60,FL,1.75,30,490260.2175,0.318000007,,,,,,,,,,,,
King mackerel,Scombridae,Scomberomorus cavalla,Scomberomorus,Teleostei,45000,26,184,TL,2,64.625,2923275.083,NA,,,,,,,,,,,,
Narrow-barred Spanish mackerel,Scombridae,Scomberomorus commerson,Scomberomorus,Teleostei,70000,22,240,FL,1.8,71.5625,771666.6667,NA,,,,,,,,,,,,
Indo-Pacific king mackerel,Scombridae,Scomberomorus guttatus,Scomberomorus,Teleostei,4000,NA,81.5,FL,NA,40.25,123685,NA,,,,,,,,,,,,
Korean seerfish,Scombridae,Scomberomorus koreanus,Scomberomorus,Teleostei,15000,NA,150,FL,NA,75,NA,NA,,,,,,,,,,,,
Atlantic Spanish mackerel,Scombridae,Scomberomorus maculatus,Scomberomorus,Teleostei,5890,5,91,FL,NA,30.9307697,846500,NA,,,,,,,,,,,,
Australian spotted mackerel,Scombridae,Scomberomorus munroi,Scomberomorus,Teleostei,10206,NA,104,FL,1,53.66666667,NA,NA,,,,,,,,,,,,
Japanese Spanish mackerel,Scombridae,Scomberomorus niphonius,Scomberomorus,Teleostei,8010,NA,113.1999969,TL,NA,NA,710000,NA,,,,,,,,,,,,
Kanadi kingfish,Scombridae,Scomberomorus plurilineatus,Scomberomorus,Teleostei,12500,NA,120,FL,NA,80,NA,NA,,,,,,,,,,,,
Queensland school mackerel,Scombridae,Scomberomorus queenslandicus,Scomberomorus,Teleostei,12247,NA,100,FL,1,45.5,NA,NA,,,,,,,,,,,,
Broad-barred king mackerel,Scombridae,Scomberomorus semifasciatus,Scomberomorus,Teleostei,10000,NA,120,FL,1,69.5,NA,NA,,,,,,,,,,,,
Pacific sierra,Scombridae,Scomberomorus sierra,Scomberomorus,Teleostei,8160,NA,99,FL,NA,26,NA,NA,,,,,,,,,,,,
Chinese seerfish,Scombridae,Scomberomorus sinensis,Scomberomorus,Teleostei,131,NA,247,TL,NA,NA,NA,NA,,,,,,,,,,,,
West African Spanish mackerel,Scombridae,Scomberomorus tritor,Scomberomorus,Teleostei,6000,5,100,TL,NA,31,1.00E+06,NA,,,,,,,,,,,,
Golden redfish,Sebastidae,Sebastes norvegicus,Sebastes,Teleostei,15000,60,100,TL,10,29.8,132369.375,0.694999981,,,,,,,,,,,,
Atlantic moonfish,Carangidae,Selene setapinnis,Selene,Teleostei,4600,NA,60,TL,NA,NA,NA,NA,,,,,,,,,,,,
Lesser amberjack,Carangidae,Seriola fasciata,Seriola,Teleostei,4600,NA,67.5,FL,NA,NA,NA,NA,,,,,,,,,,,,
Samson fish,Carangidae,Seriola hippos,Seriola,Teleostei,53100,NA,150,TL,NA,NA,NA,NA,,,,,,,,,,,,
Yellowtail amberjack,Carangidae,Seriola lalandi,Seriola,Teleostei,96840,12,250,TL,2,50.59999847,NA,NA,,,,,,,,,,,,
Banded rudderfish,Carangidae,Seriola zonata,Seriola,Teleostei,5200,NA,75,TL,NA,NA,NA,NA,,,,,,,,,,,,
Common hairfin anchovy,Engraulidae,Setipinna tenuifilis,Setipinna,Teleostei,44.25,NA,22,SL,NA,NA,NA,NA,,,,,,,,,,,,
Gnomefish,Scombropidae,Scombrops boops,Scombrops,Teleostei,16100,NA,150,TL,NA,NA,NA,NA,,,,,,,,,,,,
Common warehou,Centrolophidae,Seriolella brama,Seriolella,Teleostei,4000,15,76,TL,3,30,285000,NA,,,,,,,,,,,,
Guinean barracuda,Sphyraenidae,Sphyraena afra,Sphyraena,Teleostei,50000,NA,205,TL,NA,NA,NA,NA,,,,,,,,,,,,
Pacific barracuda,Sphyraenidae,Sphyraena argentea,Sphyraena,Teleostei,12020,12,145,FL,NA,NA,263000,NA,,,,,,,,,,,,
Mexican barracuda,Sphyraenidae,Sphyraena ensis,Sphyraena,Teleostei,9520,NA,127,FL,NA,NA,NA,NA,,,,,,,,,,,,
Guachanche barracuda,Sphyraenidae,Sphyraena guachancho,Sphyraena,Teleostei,1750,NA,200,TL,NA,35,NA,NA,,,,,,,,,,,,
European barracuda,Sphyraenidae,Sphyraena sphyraena,Sphyraena,Teleostei,3620,NA,165,TL,NA,NA,75115.5,0.35,,,,,,,,,,,,
Yellowmouth barracuda,Sphyraenidae,Sphyraena viridensis,Sphyraena,Teleostei,8200,NA,128,FL,NA,NA,NA,NA,,,,,,,,,,,,
Blotched picarel,Sparidae,Spicara maena,Spicara,Teleostei,160,NA,25,SL,NA,NA,29448,NA,,,,,,,,,,,,
Black seabream,Sparidae,Spondyliosoma cantharus,Spondyliosoma,Teleostei,1220,NA,60,SL,2,22,152691,0.2,,,,,,,,,,,,
Diaphanous hatchet fish,Sternoptychidae,Sternoptyx diaphana,Sternoptyx,Teleostei,6.900000095,NA,5.5,SL,NA,NA,NA,NA,,,,,,,,,,,,
Albacore,Scombridae,Thunnus alalunga,Thunnus,Teleostei,60320,9,140,FL,4.666666667,86.44444444,1070000,0.25,,,,,,,,,,,,
Yellowfin tuna,Scombridae,Thunnus albacares,Thunnus,Teleostei,2.00E+05,9,239,FL,2.875,93.8,2500000,NA,,,,,,,,,,,,
Blackfin tuna,Scombridae,Thunnus atlanticus,Thunnus,Teleostei,20630,NA,107.9499969,FL,NA,50,NA,NA,,,,,,,,,,,,
Southern bluefin tuna,Scombridae,Thunnus maccoyii,Thunnus,Teleostei,260000,20,245,FL,8,120,14500000,NA,,,,,,,,,,,,
Bigeye tuna,Scombridae,Thunnus obesus,Thunnus,Teleostei,210000,11,250,TL,3,97.6,6932258,NA,,,,,,,,,,,,
Atlantic bluefin tuna,Scombridae,Thunnus thynnus,Thunnus,Teleostei,684000,32,458,TL,5.333333333,130.5,26808750,0.3,,,,,,,,,,,,
Longtail tuna,Scombridae,Thunnus tonggol,Thunnus,Teleostei,35900,18.70000076,145,FL,NA,NA,699142,NA,,,,,,,,,,,,
Florida pompano,Carangidae,Trachinotus carolinus,Trachinotus,Teleostei,3760,7,64,TL,NA,24,NA,NA,,,,,,,,,,,,
Pompano,Carangidae,Trachinotus ovatus,Trachinotus,Teleostei,2800,NA,70,TL,NA,NA,NA,NA,,,,,,,,,,,,
Shortfin pompano,Carangidae,Trachinotus teraia,Trachinotus,Teleostei,8250,NA,68,TL,NA,19,NA,NA,,,,,,,,,,,,
Atlantic horse mackerel,Carangidae,Trachurus trachurus,Trachurus,Teleostei,2000,NA,70,TL,3.333333333,23.55555556,274868.2386,0.220000005,,,,,,,,,,,,
Largehead hairtail,Trichiuridae,Trichiurus lepturus,Trichiurus,Teleostei,5000,NA,234,TL,1.75,45.42857143,22633,NA,,,,,,,,,,,,
NA,Belonidae,Strongylura anastomella,Strongylura,Teleostei,1000,NA,100,TL,NA,NA,NA,NA,,,,,,,,,,,,
Hilsa shad,Dorosomatidae,Tenualosa ilisha,Tenualosa,Teleostei,680,5,60,SL,1.5,21.76666705,903441.25,NA,,,,,,,,,,,,
Shortbill spearfish,Istiophoridae,Tetrapturus angustirostris,Tetrapturus,Teleostei,52000,NA,230,TL,NA,NA,NA,NA,,,,,,,,,,,,
Mediterranean spearfish,Istiophoridae,Tetrapturus belone,Tetrapturus,Teleostei,70000,NA,240,TL,NA,NA,NA,NA,,,,,,,,,,,,
Longbill spearfish,Istiophoridae,Tetrapturus pfluegeri,Tetrapturus,Teleostei,58000,NA,254,FL,NA,NA,NA,NA,,,,,,,,,,,,
Snoek,Gempylidae,Thyrsites atun,Thyrsites,Teleostei,6000,10,200,SL,2,50,NA,NA,,,,,,,,,,,,
Totoaba,Sciaenidae,Totoaba macdonaldi,Totoaba,Teleostei,1.00E+05,24,200,TL,NA,NA,NA,NA,,,,,,,,,,,,
Mexican needlefish,Belonidae,Tylosurus fodiator,Tylosurus,Teleostei,9860,NA,134,TL,NA,NA,NA,NA,,,,,,,,,,,,
Swordfish,Xiphiidae,Xiphias gladius,Xiphias,Teleostei,650000,NA,455,FL,5,153,7333333.333,0.419999981,,,,,,,,,,,,
Silvery John dory,Zeidae,Zenopsis conchifer,Zenopsis,Teleostei,3200,NA,80,TL,NA,NA,NA,NA,,,,,,,,,,,,
John dory,Zeidae,Zeus faber,Zeus,Teleostei,8000,12,90,TL,3,25,NA,0.430000019,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
